trade_id,create_time,market_slug,market_question,my_side,trade_action,price,qty,cost_basis,realized_pnl_trade,result,market_pnl,market_payout,market_cost,resolved_at,my_prob_estimate,model_implied_total,notes
9QHN47RG40YA,2026-04-29T23:33:01.804575473Z,aec-nba-hou-lal-2026-04-29,Houston vs. Los Angeles L,Rockets,BUY,0.400,12.000,,,WIN,7.200,11.880,4.94,2026-04-30T04:49:45.934422553Z,,,
9R6JYK2H20YA,2026-04-30T23:57:51.208987606Z,tsc-nba-ny-atl-2026-04-30-213pt5,New York vs. Atlanta: O/U 213.5,Under,BUY,0.550,10.000,,,LOSS,-4.500,0.100,4.62,2026-05-01T01:43:52.562787484Z,,,
9R8D9K6HR0YA,2026-05-01T02:05:23.950218775Z,aec-nba-den-min-2026-04-30,Denver vs. Minnesota,Timberwolves,BUY,0.640,26.000,,,WIN,16.640,25.740,9.66,2026-05-01T04:23:17.391274119Z,,,
9SF8XSCG80YA,2026-05-02T23:23:58.302241259Z,tsc-nba-phi-bos-2026-05-02-207pt5,Philadelphia vs. Boston: O/U 207.5,Over,BUY,0.440,22.000,,,WIN,11.500,20.580,9.4977,2026-05-03T02:04:10.629524203Z,,,
9SHHF4XG40YA,2026-05-03T02:00:58.952078364Z,tsc-nba-phi-bos-2026-05-02-207pt5,Philadelphia vs. Boston: O/U 207.5,Over,BUY,0.180,1.000,0.45,-0.28,WIN,11.500,20.580,9.4977,2026-05-03T02:04:10.629524203Z,,,
9T1FJ70G20YA,2026-05-03T20:33:28.413060649Z,aec-nba-orl-det-2026-05-03,Orlando vs. Detroit,Magic,BUY,0.370,13.000,,,LOSS,-4.810,0.130,4.96,2026-05-03T22:13:12.395257417Z,,,
9T1G8C5G00YA,2026-05-03T20:35:13.914336401Z,tsc-nba-orl-det-2026-05-03-204pt5,,,BUY,0.350,27.000,,,,,,,,,,
9T2KQZMG00YA,2026-05-03T21:54:41.635665307Z,tsc-nba-orl-det-2026-05-03-204pt5,,,BUY,0.470,27.000,9.76,3.01,,,,,,,,
9T4QPNCG00YA,2026-05-04T00:25:04.805564061Z,tsc-nba-tor-cle-2026-05-03-213pt5,Toronto vs. Cleveland: O/U 213.5,Over,BUY,0.370,30.000,,,WIN,18.900,29.700,11.45,2026-05-04T02:27:33.551482205Z,,,
9TS4X7W040YA,2026-05-05T00:08:48.840734513Z,tsc-nba-phi-ny-2026-05-04-219pt5,Philadelphia vs. New York: O/U 219.5,Over,BUY,0.360,30.000,,,WIN,19.200,29.700,11.15,2026-05-05T02:47:57.776935953Z,,,
9VB1Y6K080YA,2026-05-05T21:06:19.970936253Z,tsc-nba-cle-det-2026-05-05-219pt5,,,BUY,0.420,20.000,,,,,,,,,,
9VB231HG00YA,2026-05-05T21:06:41.175313772Z,tsc-nba-lal-okc-2026-05-05-216pt5,Los Angeles L vs. Oklahoma City: O/U 216.5,Over,BUY,0.450,20.000,,,LOSS,-9.000,0.200,9.25,2026-05-06T03:06:52.480153605Z,,,
9VED2E7G00YA,2026-05-06T00:53:22.224253372Z,tsc-nba-cle-det-2026-05-05-219pt5,,,BUY,0.300,20.000,8.64,-2.59,,,,,,,,
